term,polarity,language
爆笑,negative,ja
退屈,negative,ja
衝撃,negative,ja
申し訳ない,negative,ja
ダメ,negative,ja
恥,negative,ja
草,negative,ja
台無し,negative,ja
苦しい,negative,ja
へたくそ,negative,ja
殴,negative,ja
あほ,negative,ja
失礼,negative,ja
中毒,negative,ja
"さぼる
下手",negative,ja
謎,negative,ja
恥ずかしい,negative,ja
驚く,negative,ja
間違い,negative,ja
場違い,negative,ja
挫折,negative,ja
びっくり,negative,ja
ガラガラ,negative,ja
キモ,negative,ja
ぶちギレ,negative,ja
ださい,negative,ja
恐ろしい,negative,ja
鳥肌,negative,ja
マナー違反,negative,ja
世紀末,negative,ja
問題,negative,ja
エセ,negative,ja
鬼畜,negative,ja
苦笑い,negative,ja
絶望的,negative,ja
苦痛,negative,ja
パクる,negative,ja
キモオタ,negative,ja
殴る,negative,ja
血涙,negative,ja
聞き逃す,negative,ja
恨む,negative,ja
イラつく,negative,ja
落ち込む,negative,ja
圧縮,negative,ja
圧縮される,negative,ja
破産,negative,ja
なくす,negative,ja
潰す,negative,ja
文句,negative,ja
憎む,negative,ja
虚しい,negative,ja
嫌,negative,ja
衰弱,negative,ja
恐る,negative,ja
震える,negative,ja
草原,negative,ja
不憫,negative,ja
聴きたかった,negative,ja
事故,negative,ja
ストレス,negative,ja
やばさ,negative,ja
メンヘラ,negative,ja
酷評,negative,ja
喪失,negative,ja
のたうちまわる,negative,ja
行けず,negative,ja
撃沈,negative,ja
ルール違反,negative,ja
死,negative,ja
あり得ない,negative,ja
不快,negative,ja
勘違いする,negative,ja
もどかしい,negative,ja
絶句,negative,ja
散々,negative,ja
号泣,negative,ja
違和感,negative,ja
不協和音,negative,ja
バグる,negative,ja
気持ち悪い,negative,ja
怒り,negative,ja
お怒り,negative,ja
笑,negative,ja
死,negative,ja
死亡者,negative,ja
涙,negative,ja
いらつき,negative,ja
厳しい,negative,ja
後悔が凄い,negative,ja
破門,negative,ja
無駄,negative,ja
地獄絵図,negative,ja
怠る,negative,ja
痛い,negative,ja
疲れ,negative,ja
炎上,negative,ja
悲しみ,negative,ja
ヤンデレ,negative,ja
切ない,negative,ja
見たい,negative,ja
ドン引き,negative,ja
ずるい,negative,ja
つらい,negative,ja
ボロくそ,negative,ja
邪魔,negative,ja
気管支炎,negative,ja
難民,negative,ja
ブロック,negative,ja
音外す,negative,ja
見れない,negative,ja
やる気なくす,negative,ja
なんで,negative,ja
気になる,negative,ja
運ない,negative,ja
腹立つ,negative,ja
心が休まらない,negative,ja
センスない,negative,ja
間に合わない,negative,ja
緊張が高い,negative,ja
許さない,negative,ja
音程外す,negative,ja
音外す,negative,ja
ソロない,negative,ja
気力ない,negative,ja
見る気 失せる,negative,ja
意味ない,negative,ja
ソロ無い,negative,ja
喉が潰れる,negative,ja
行きにくい,negative,ja
金に余裕がない,negative,ja
ついていけない,negative,ja
暑過ぎる,negative,ja
歌いにくい,negative,ja
場所悪い,negative,ja
お金やばい,negative,ja
喉潰す,negative,ja
行きたかった,negative,ja
体調悪い,negative,ja
お金足りない,negative,ja
声出ない,negative,ja
喉やる,negative,ja
気合い入らない,negative,ja
行きたい,negative,ja
運がない,negative,ja
信用しない,negative,ja
マナー悪い,negative,ja
民度低い,negative,ja
感情が死ぬ,negative,ja
なぜ,negative,ja
モチベーションが悪い,negative,ja
使いにくい,negative,ja
ダウンロードできない,negative,ja
メンタルやられる,negative,ja
金がない,negative,ja
どうして,negative,ja
馬鹿にする,negative,ja
金が無い,negative,ja
安定しない,negative,ja
キレ散らかす,negative,ja
金足りない,negative,ja
意味をなくす,negative,ja
ツアーに落ちる,negative,ja
運が皆無,negative,ja
文句言う,negative,ja
力尽きる,negative,ja
心が死ぬ,negative,ja
腹立つ,negative,ja
調子悪い,negative,ja
聞きづらい,negative,ja
馬鹿にされる,negative,ja
訳わからない,negative,ja
くっそ,negative,ja
やる気出ない,negative,ja
理解できない,negative,ja
聞くに堪えない,negative,ja
許さない,negative,ja
音程外れる,negative,ja
音ずれる,negative,ja
音が外れる,negative,ja
意味がわからない,negative,ja
興味ない,negative,ja
音程ずれる,negative,ja
キー合わない,negative,ja
音程酷い,negative,ja
音取れない,negative,ja
音外れる,negative,ja
音程外す,negative,ja
音程違う,negative,ja
観たい,negative,ja
意味わからない,negative,ja
体力がなくなる,negative,ja
心の力が足りない,negative,ja
金持たない,negative,ja
お金ない,negative,ja
許せない,negative,ja
頭悪い,negative,ja
頭抱える,negative,ja
評判下げる,negative,ja
進歩しない,negative,ja
間に合うかな,negative,ja
腹が立つ,negative,ja
見たかった,negative,ja
寿命が縮む,negative,ja
散々な目に合う,negative,ja
歌唱力がない,negative,ja
良くならない,negative,ja
足りない,negative,ja
いけない,negative,ja
しょうもない,negative,ja
すみません,negative,ja
やめる,negative,ja
即死する,negative,ja
少なすぎる,negative,ja
狭すぎる,negative,ja
吐く,negative,ja
やらかす,negative,ja
行方不明,negative,ja
傷つく,negative,ja
ガチギレ,negative,ja
乗り遅れ,negative,ja
重すぎる,negative,ja
おもすぎる,negative,ja
あこがれる,positive,ja
あじわう,positive,ja
かなう,positive,ja
こだわりがある,positive,ja
したう,positive,ja
すがすがしい,positive,ja
すすめる,positive,ja
そろう,positive,ja
できあがる,positive,ja
なおる,positive,ja
ぬぐえる,positive,ja
はかどる,positive,ja
はがせる,positive,ja
はずせる,positive,ja
はたせる,positive,ja
ほっとする,positive,ja
ほめる,positive,ja
ほれる,positive,ja
ほれ込む,positive,ja
まぬがれる,positive,ja
みたす,positive,ja
もてなしてもらう,positive,ja
やせる,positive,ja
よろこぶ,positive,ja
ストレスがない,positive,ja
愛される,positive,ja
扱うことができる,positive,ja
扱うことはできる,positive,ja
扱える,positive,ja
慰めてもらう,positive,ja
移すことができる,positive,ja
移すことはできる,positive,ja
移せる,positive,ja
育つ,positive,ja
育ててくれる,positive,ja
育ててもらう,positive,ja
飲み干せる,positive,ja
飲み込める,positive,ja
温まる,positive,ja
改める,positive,ja
開けれる,positive,ja
開けることができる,positive,ja
開けることはできる,positive,ja
外すことができる,positive,ja
外すことはできる,positive,ja
外せる,positive,ja
楽しい,positive,ja
楽しむ,positive,ja
恰好がつく,positive,ja
活かす,positive,ja
叶う,positive,ja
寛ぐ,positive,ja
感無量だ,positive,ja
感無量です,positive,ja
感無量と,positive,ja
感無量の,positive,ja
慣れる,positive,ja
貫くことができる,positive,ja
貫くことはできる,positive,ja
貫ける,positive,ja
間に合う,positive,ja
頑張る,positive,ja
頑張れる,positive,ja
喜ぶ,positive,ja
気にいる,positive,ja
気に入る,positive,ja
気持がいい,positive,ja
気持ちがいい,positive,ja
気持ちいい,positive,ja
気持ち良い,positive,ja
貴ぶ,positive,ja
救う,positive,ja
教えてもらう,positive,ja
胸が踊る,positive,ja
胸のすくような,positive,ja
曲げることができる,positive,ja
曲げることはできる,positive,ja
極める,positive,ja
薫る,positive,ja
契約開始できる,positive,ja
契約更新できる,positive,ja
契約成立できる,positive,ja
敬う,positive,ja
建てることができる,positive,ja
建てることはできる,positive,ja
研くことができる,positive,ja
研くことはできる,positive,ja
研ぐことができる,positive,ja
研ぐことはできる,positive,ja
研ける,positive,ja
研げる,positive,ja
肩の荷がおりる,positive,ja
肩身が広い,positive,ja
見せることができる,positive,ja
見せることはできる,positive,ja
減らすことができる,positive,ja
減らすことはできる,positive,ja
好く,positive,ja
好む,positive,ja
耕すことができる,positive,ja
耕すことはできる,positive,ja
耕せる,positive,ja
合わせることができる,positive,ja
合わせることはできる,positive,ja
惚れこむ,positive,ja
惚れる,positive,ja
惚れ惚れ,positive,ja
惚れ込む,positive,ja
産まれる,positive,ja
産むことができる,positive,ja
産むことはできる,positive,ja
産める,positive,ja
支払うことができる,positive,ja
支払うことはできる,positive,ja
支払える,positive,ja
似合う,positive,ja
治しれもらう,positive,ja
治る,positive,ja
自信がある,positive,ja
実る,positive,ja
惹かれる,positive,ja
取り除くことができる,positive,ja
取り除くことはできる,positive,ja
取り除ける,positive,ja
受け付けられる,positive,ja
授かる,positive,ja
授けてもらう,positive,ja
収まる,positive,ja
修める,positive,ja
祝ってもらう,positive,ja
出来上る,positive,ja
出来る,positive,ja
出来上がる,positive,ja
潤う,positive,ja
助かる,positive,ja
勝つ,positive,ja
勝てる,positive,ja
譲ってもらう,positive,ja
伸びる,positive,ja
信じる,positive,ja
心酔する,positive,ja
親しむ,positive,ja
吹ける,positive,ja
遂げる,positive,ja
澄む,positive,ja
整う,positive,ja
晴れる,positive,ja
盛り上げる,positive,ja
掻き立てる,positive,ja
送ってもらう,positive,ja
贈る,positive,ja
足りる,positive,ja
足る,positive,ja
揃う,positive,ja
揃えることができる,positive,ja
揃えることはできる,positive,ja
待ち遠しい,positive,ja
待遠しい,positive,ja
鍛えてくれる,positive,ja
鍛えてもらう,positive,ja
断ち切る,positive,ja
断切る,positive,ja
暖める,positive,ja
知らせてもらう,positive,ja
蓄える,positive,ja
貯える,positive,ja
貯める,positive,ja
調う,positive,ja
調べることができる,positive,ja
調べることはできる,positive,ja
調べるてもらう,positive,ja
跳べる,positive,ja
捗る,positive,ja
直してもらう,positive,ja
直る,positive,ja
適う,positive,ja
動かせる,positive,ja
動かすことができる,positive,ja
動かすことはできる,positive,ja
動くことができる,positive,ja
動くことはできる,positive,ja
動ける,positive,ja
導くことができる,positive,ja
導くことはできる,positive,ja
導ける,positive,ja
憧れる,positive,ja
匂う,positive,ja
入れてもらう,positive,ja
買い戻せる,positive,ja
薄らぐ,positive,ja
付き合う,positive,ja
富む,positive,ja
撫でてもらう,positive,ja
編むことができる,positive,ja
編むことはできる,positive,ja
編める,positive,ja
保つ,positive,ja
縫える,positive,ja
望める,positive,ja
満たすことができる,positive,ja
満たすことはできる,positive,ja
満腹,positive,ja
味わう,positive,ja
免れる,positive,ja
儲る,positive,ja
儲かる,positive,ja
優る,positive,ja
落ち着く,positive,ja
落ち着ける,positive,ja
履ける,positive,ja
理解できる,positive,ja
離せる,positive,ja
労ってもらう,positive,ja
賄うことができる,positive,ja
賄うことはできる,positive,ja
賄える,positive,ja
恍惚だ,positive,ja
恍惚です,positive,ja
恍惚と,positive,ja
恍惚の,positive,ja
憬れる,positive,ja
挾める,positive,ja
揉んでもらう,positive,ja
ＧＯＯＤ,positive,ja
Ｇｏｏｄ,positive,ja
ＶＩＰだ,positive,ja
ＶＩＰです,positive,ja
ＶＩＰと,positive,ja
ＶＩＰの,positive,ja
ｇｏｏｄ,positive,ja
あう,positive,ja
あか抜ける,positive,ja
あでやかだ,positive,ja
あでやかです,positive,ja
あわせやすい,positive,ja
いいあんばい,positive,ja
いい感じだ,positive,ja
いい感じです,positive,ja
いい感じと,positive,ja
いい感じの,positive,ja
いい気持ちだ,positive,ja
いい気持ちです,positive,ja
いい気持ちと,positive,ja
いい気持ちの,positive,ja
いい気分だ,positive,ja
いい気分です,positive,ja
いい気分と,positive,ja
いい気分の,positive,ja
いい具合だ,positive,ja
いい具合です,positive,ja
いい具合と,positive,ja
いい具合の,positive,ja
いかす,positive,ja
いじらしい,positive,ja
いたいけだ,positive,ja
いたいけです,positive,ja
いとおしい,positive,ja
うきうき,positive,ja
うっとり,positive,ja
うなづける,positive,ja
うまい,positive,ja
えり抜きだ,positive,ja
えり抜きです,positive,ja
えり抜きと,positive,ja
えり抜きの,positive,ja
おいしい,positive,ja
おおらかだ,positive,ja
おおらかです,positive,ja
おしゃまだ,positive,ja
おしゃまです,positive,ja
おしゃまと,positive,ja
おしゃまの,positive,ja
おとなしやかだ,positive,ja
おとなしやかです,positive,ja
おなじみだ,positive,ja
おなじみです,positive,ja
おなじみと,positive,ja
おなじみの,positive,ja
お気にいりだ,positive,ja
お気にいりです,positive,ja
お気にいりと,positive,ja
お気にいりの,positive,ja
お気に入りだ,positive,ja
お気に入りです,positive,ja
お気に入りと,positive,ja
お気に入りの,positive,ja
お茶の子さいさいだ,positive,ja
お茶の子さいさいです,positive,ja
お茶の子さいさいと,positive,ja
お茶の子さいさいの,positive,ja
お買い得だ,positive,ja
お買い得です,positive,ja
お買い得と,positive,ja
お買い得の,positive,ja
かいがいしい,positive,ja
かしこい,positive,ja
かっちり,positive,ja
かっ達だ,positive,ja
かっ達です,positive,ja
かわいらしい,positive,ja
きっちり,positive,ja
きびきびする,positive,ja
きめ細かだ,positive,ja
きめ細かです,positive,ja
きめ細かい,positive,ja
きらめく,positive,ja
きりりと,positive,ja
くつろげる,positive,ja
けざやかだ,positive,ja
けざやかです,positive,ja
こころよい,positive,ja
こざっぱらい,positive,ja
こなす,positive,ja
こなせる,positive,ja
こなれる,positive,ja
こわいもの知るぬ,positive,ja
さかしい,positive,ja
さすが,positive,ja
さといだ,positive,ja
さといです,positive,ja
さといと,positive,ja
さといの,positive,ja
さりげない,positive,ja
ざっくばらんだ,positive,ja
ざっくばらんです,positive,ja
しおらしい,positive,ja
したしい,positive,ja
しっくり,positive,ja
しっとり,positive,ja
しのぐ,positive,ja
しめやかだ,positive,ja
しめやかです,positive,ja
しんなり,positive,ja
すご腕だ,positive,ja
すご腕です,positive,ja
すご腕と,positive,ja
すご腕の,positive,ja
すすどい,positive,ja
すばやい,positive,ja
すばらしい,positive,ja
すべすべ,positive,ja
すらり,positive,ja
ずばぬける,positive,ja
ずば抜ける,positive,ja
そこはかとない,positive,ja
そそる,positive,ja
たくましい,positive,ja
たぐいまれな,positive,ja
たやすい,positive,ja
ちゃんと,positive,ja
ちょうどいい,positive,ja
ちょうど良い,positive,ja
つかみやすい,positive,ja
つぶらだ,positive,ja
つぶらです,positive,ja
つましい,positive,ja
つまびらかだ,positive,ja
つまびらかです,positive,ja
つやつや,positive,ja
つややかだ,positive,ja
つややかです,positive,ja
どんぴしゃり,positive,ja
なじむ,positive,ja
なじめる,positive,ja
なつかしい,positive,ja
なまめかしい,positive,ja
にぎにぎしい,positive,ja
のびのび,positive,ja
のびやかだ,positive,ja
のびやかです,positive,ja
はえる,positive,ja
はしこい,positive,ja
ばら色だ,positive,ja
ばら色です,positive,ja
ばら色と,positive,ja
ばら色の,positive,ja
ひきしまる,positive,ja
ひけをとるない,positive,ja
ぴか一だ,positive,ja
ぴか一です,positive,ja
ぴか一と,positive,ja
ぴか一の,positive,ja
ぴちぴち,positive,ja
ふさわしい,positive,ja
ふたつとない,positive,ja
ふっくら,positive,ja
ふんだんだ,positive,ja
ふんだんです,positive,ja
ふんわり,positive,ja
ぷりぷり,positive,ja
べた惚れ,positive,ja
べらぼうだ,positive,ja
べらぼうです,positive,ja
べら棒だ,positive,ja
べら棒です,positive,ja
ほっそり,positive,ja
ほのぼの,positive,ja
ほほえましい,positive,ja
ほれぼれ,positive,ja
まずまず,positive,ja
まとまる,positive,ja
まばゆい,positive,ja
まめやかだ,positive,ja
まめやかです,positive,ja
みずみずしい,positive,ja
みめよい,positive,ja
むつままじい,positive,ja
めきめき,positive,ja
めざましい,positive,ja
めずらしい,positive,ja
めでたい,positive,ja
もっけの幸いだ,positive,ja
もっけの幸いです,positive,ja
もっけの幸いと,positive,ja
もっけの幸いの,positive,ja
もの珍しい,positive,ja
やさしい,positive,ja
やすやす,positive,ja
やり手だ,positive,ja
やり手です,positive,ja
やり手と,positive,ja
やり手の,positive,ja
やわらかい,positive,ja
やんごとない,positive,ja
やんわり,positive,ja
ゆかしい,positive,ja
ゆったり,positive,ja
ゆとりがある,positive,ja
よく気が付く,positive,ja
よろしい,positive,ja
らい落だ,positive,ja
らい落です,positive,ja
りりしい,positive,ja
りんとした,positive,ja
わかりやすい,positive,ja
わくわく,positive,ja
アジがある,positive,ja
イイ,positive,ja
インテリジェントだ,positive,ja
インテリジェントです,positive,ja
インテリジェントと,positive,ja
インテリジェントの,positive,ja
ウケる,positive,ja
エクセレント,positive,ja
エポックメーキングだ,positive,ja
エポックメーキングです,positive,ja
オススメだ,positive,ja
オススメです,positive,ja
オススメと,positive,ja
オススメの,positive,ja
カッコいい,positive,ja
カリスマ的だ,positive,ja
カリスマ的です,positive,ja
キビキビ,positive,ja
クリアだ,positive,ja
グッドだ,positive,ja
グッドルッキング,positive,ja
ゴージャスだ,positive,ja
ゴージャスです,positive,ja
シビレる,positive,ja
シャレる,positive,ja
シルキーだ,positive,ja
シルキーです,positive,ja
ジェントル,positive,ja
スゲーッ,positive,ja
スゴクイイ,positive,ja
スペッシャル,positive,ja
スポーティだ,positive,ja
スポーティです,positive,ja
セーフティ,positive,ja
セーフティー,positive,ja
ソフィスティケート,positive,ja
ゾッコン,positive,ja
ダンディーだ,positive,ja
ダンディーです,positive,ja
ダンディーと,positive,ja
ダンディーの,positive,ja
チャーミングだ,positive,ja
チャーミングです,positive,ja
デリシャス,positive,ja
トップだ,positive,ja
トップです,positive,ja
トップと,positive,ja
トップの,positive,ja
トルクフル,positive,ja
ドレッシーだ,positive,ja
ドレッシーです,positive,ja
ハイパワーだ,positive,ja
ハイパワーです,positive,ja
ハイパワーと,positive,ja
ハイパワーの,positive,ja
ハイカラだ,positive,ja
ハイカラです,positive,ja
ハイクラスだ,positive,ja
ハイクラスです,positive,ja
ハイクラスと,positive,ja
ハイクラスの,positive,ja
バツグン,positive,ja
ビビッドだ,positive,ja
ビビッドです,positive,ja
ビューティフル,positive,ja
ピカイチだ,positive,ja
ピカイチです,positive,ja
ピカイチと,positive,ja
ピカイチの,positive,ja
ピッタリ,positive,ja
ピュアだ,positive,ja
ピュアです,positive,ja
ファンタスチック,positive,ja
ファンタスティック,positive,ja
ベストチョイス,positive,ja
ベターだ,positive,ja
ベターです,positive,ja
ベターと,positive,ja
ベターの,positive,ja
マルだ,positive,ja
マルです,positive,ja
マルと,positive,ja
マルの,positive,ja
メキメキ,positive,ja
メジャーだ,positive,ja
メジャーです,positive,ja
メリットがある,positive,ja
メリハリがある,positive,ja
ラクチンだ,positive,ja
ラクチンです,positive,ja
ラクラク,positive,ja
レア,positive,ja
愛くるしい,positive,ja
愛しい,positive,ja
愛らしい,positive,ja
愛想いい,positive,ja
愛想が良い,positive,ja
愛想よく,positive,ja
悪気のない,positive,ja
扱いやすい,positive,ja
安閑だ,positive,ja
安閑です,positive,ja
安閑と,positive,ja
安閑の,positive,ja
安上りだ,positive,ja
安上りです,positive,ja
安上りと,positive,ja
安上りの,positive,ja
安定する,positive,ja
安定的だ,positive,ja
安定的です,positive,ja
偉い,positive,ja
委せることができる,positive,ja
委せることはできる,positive,ja
威風堂々,positive,ja
意欲的だ,positive,ja
意欲的です,positive,ja
易々だ,positive,ja
易々です,positive,ja
易々と,positive,ja
易々の,positive,ja
易易,positive,ja
違和感がない,positive,ja
違和感ない,positive,ja
違和感はない,positive,ja
一級品,positive,ja
一糸も乱れない,positive,ja
一石二鳥だ,positive,ja
一石二鳥です,positive,ja
一石二鳥と,positive,ja
一石二鳥の,positive,ja
一徹だ,positive,ja
一徹です,positive,ja
印象的だ,positive,ja
印象的です,positive,ja
印象深い,positive,ja
引き伸ばせる,positive,ja
引っ張りだこだ,positive,ja
引っ張りだこです,positive,ja
引っ張りだこと,positive,ja
引っ張りだこの,positive,ja
右に出るものがない,positive,ja
映えばえしい,positive,ja
映える,positive,ja
悦ばしい,positive,ja
円やかだ,positive,ja
円やかです,positive,ja
艶がある,positive,ja
汚れにくい,positive,ja
奥ゆかしい,positive,ja
奥床しい,positive,ja
奥深い,positive,ja
押しがある,positive,ja
何気ない,positive,ja
何気無い,positive,ja
価する,positive,ja
価値がある,positive,ja
価値はある,positive,ja
可愛い,positive,ja
可愛らしい,positive,ja
可笑しい,positive,ja
家庭的だ,positive,ja
家庭的です,positive,ja
華はある,positive,ja
華々しい,positive,ja
華やかさがある,positive,ja
華華しい,positive,ja
画期的だ,positive,ja
画期的です,positive,ja
会うことができる,positive,ja
会うことはできる,positive,ja
会える,positive,ja
解放的だ,positive,ja
解放的です,positive,ja
快哉だ,positive,ja
快哉です,positive,ja
快哉と,positive,ja
快哉の,positive,ja
懐が深い,positive,ja
開放的だ,positive,ja
開放的です,positive,ja
外柔内剛だ,positive,ja
外柔内剛です,positive,ja
外柔内剛と,positive,ja
外柔内剛の,positive,ja
該博だ,positive,ja
該博です,positive,ja
該博と,positive,ja
該博の,positive,ja
格好良い,positive,ja
格好いい,positive,ja
格上げ,positive,ja
格段だ,positive,ja
格段です,positive,ja
格別だ,positive,ja
格別です,positive,ja
革新的だ,positive,ja
革新的です,positive,ja
学ぶことができる,positive,ja
学ぶことはできる,positive,ja
学べる,positive,ja
楽々,positive,ja
楽しめる,positive,ja
楽ちんだ,positive,ja
楽ちんです,positive,ja
顎が落ちる,positive,ja
割がいい,positive,ja
割に合う,positive,ja
割りに合う,positive,ja
割ることができる,positive,ja
割ることはできる,positive,ja
活きる,positive,ja
活き活き,positive,ja
活気のある,positive,ja
滑脱だ,positive,ja
滑脱です,positive,ja
噛みあう,positive,ja
乾かせる,positive,ja
乾かすことができる,positive,ja
乾かすことはできる,positive,ja
勧める,positive,ja
堪能できる,positive,ja
完全無欠だ,positive,ja
完全無欠です,positive,ja
完全無欠と,positive,ja
完全無欠の,positive,ja
寛げる,positive,ja
寛大だ,positive,ja
寛大です,positive,ja
寛闊だ,positive,ja
寛闊です,positive,ja
干せる,positive,ja
感じがいい,positive,ja
感動的だ,positive,ja
感動的です,positive,ja
敢然,positive,ja
歓ぶ,positive,ja
汗の結晶,positive,ja
甘露だ,positive,ja
甘露です,positive,ja
甘露と,positive,ja
甘露の,positive,ja
間然するところがない,positive,ja
閑雅だ,positive,ja
閑雅です,positive,ja
閑閑だ,positive,ja
閑閑です,positive,ja
閑閑と,positive,ja
閑閑の,positive,ja
閑人だ,positive,ja
閑人です,positive,ja
閑人と,positive,ja
閑人の,positive,ja
顔が広い,positive,ja
願ってもない,positive,ja
願わしい,positive,ja
危なげない,positive,ja
喜ばしい,positive,ja
奇跡的だ,positive,ja
奇跡的です,positive,ja
奇想天外だ,positive,ja
奇想天外です,positive,ja
奇天烈です,positive,ja
嬉々として,positive,ja
嬉しい,positive,ja
機嫌がいい,positive,ja
毅然だ,positive,ja
毅然です,positive,ja
毅然の,positive,ja
毅然たる,positive,ja
毅然と,positive,ja
気がおけない,positive,ja
気がきいた,positive,ja
気が回る,positive,ja
気が若い,positive,ja
気が長い,positive,ja
気が利く,positive,ja
気のきいた,positive,ja
気の効いた,positive,ja
気の置けない,positive,ja
気づよい,positive,ja
気安い,positive,ja
気強い,positive,ja
気高い,positive,ja
気丈夫だ,positive,ja
気丈夫です,positive,ja
気品がある,positive,ja
気分がいい,positive,ja
稀少だ,positive,ja
稀少です,positive,ja
稀少と,positive,ja
稀少の,positive,ja
貴い,positive,ja
軌道に乗る,positive,ja
輝かしい,positive,ja
鬼に金棒だ,positive,ja
鬼に金棒です,positive,ja
鬼に金棒と,positive,ja
鬼に金棒の,positive,ja
宜しい,positive,ja
義人,positive,ja
義理堅い,positive,ja
吸い込める,positive,ja
吸うことができる,positive,ja
吸うことはできる,positive,ja
吸える,positive,ja
究極的だ,positive,ja
究極的です,positive,ja
許せる,positive,ja
強靭だ,positive,ja
強靭です,positive,ja
恐いもの知らず,positive,ja
恭しい,positive,ja
胸がすく,positive,ja
興味ある,positive,ja
興味がある,positive,ja
興味深い,positive,ja
興味津々だ,positive,ja
興味津々です,positive,ja
興味津々と,positive,ja
興味津々の,positive,ja
驚異的だ,positive,ja
驚異的です,positive,ja
筋金入りだ,positive,ja
筋金入りです,positive,ja
筋金入りと,positive,ja
筋金入りの,positive,ja
近代的だ,positive,ja
近代的です,positive,ja
金になる,positive,ja
金城鉄壁だ,positive,ja
金城鉄壁です,positive,ja
金城鉄壁と,positive,ja
金城鉄壁の,positive,ja
金鉄だ,positive,ja
金鉄です,positive,ja
金鉄と,positive,ja
金鉄の,positive,ja
苦もない,positive,ja
苦美味い,positive,ja
具合よく,positive,ja
軍配を上げる,positive,ja
恵まれる,positive,ja
慧眼だ,positive,ja
慧眼です,positive,ja
敬服,positive,ja
敬慕,positive,ja
敬虔だ,positive,ja
敬虔です,positive,ja
敬虔と,positive,ja
敬虔の,positive,ja
景気が良い,positive,ja
経済的だ,positive,ja
経済的です,positive,ja
警抜だ,positive,ja
警抜です,positive,ja
軽捷だ,positive,ja
軽捷です,positive,ja
芸がこまかい,positive,ja
隙のない,positive,ja
欠点はない,positive,ja
潔い,positive,ja
血の通う人だ,positive,ja
血の通う人です,positive,ja
血の通う人と,positive,ja
血の通う人の,positive,ja
兼ね備える,positive,ja
堅忍不抜だ,positive,ja
堅忍不抜です,positive,ja
堅忍不抜と,positive,ja
堅忍不抜の,positive,ja
嫌みがない,positive,ja
嫌味がない,positive,ja
見やすい,positive,ja
見よい,positive,ja
見易い,positive,ja
見込む,positive,ja
見目よい,positive,ja
見目良い,positive,ja
見目好い,positive,ja
謙抑だ,positive,ja
謙抑です,positive,ja
賢い,positive,ja
減らせる,positive,ja
言いえて妙だ,positive,ja
言うことない,positive,ja
言う事ない,positive,ja
個性がある,positive,ja
孤高だ,positive,ja
孤高です,positive,ja
誇らかだ,positive,ja
誇らかです,positive,ja
誇らしい,positive,ja
誇れる,positive,ja
雇うことができる,positive,ja
雇うことはできる,positive,ja
雇える,positive,ja
効き目ある,positive,ja
効果ある,positive,ja
口上手だ,positive,ja
口上手です,positive,ja
口上手と,positive,ja
口上手の,positive,ja
向上する,positive,ja
垢ぬける,positive,ja
垢抜ける,positive,ja
好い,positive,ja
好ましい,positive,ja
好もしい,positive,ja
好意的だ,positive,ja
好意的です,positive,ja
好漢だ,positive,ja
好漢です,positive,ja
好漢と,positive,ja
好漢の,positive,ja
好条件だ,positive,ja
好条件です,positive,ja
好条件と,positive,ja
好条件の,positive,ja
好適だ,positive,ja
好適です,positive,ja
宏遠だ,positive,ja
宏遠です,positive,ja
宏量だ,positive,ja
宏量です,positive,ja
巧緻だ,positive,ja
巧緻です,positive,ja
巧緻と,positive,ja
巧緻の,positive,ja
広々,positive,ja
広げることができる,positive,ja
広げることはできる,positive,ja
広やかだ,positive,ja
広やかです,positive,ja
広壮だ,positive,ja
広壮です,positive,ja
広壮と,positive,ja
広壮の,positive,ja
広大だ,positive,ja
広大です,positive,ja
広漠だ,positive,ja
広漠です,positive,ja
広漠と,positive,ja
広漠の,positive,ja
広量だ,positive,ja
広量です,positive,ja
広量と,positive,ja
広量の,positive,ja
広闊だ,positive,ja
広闊です,positive,ja
昂揚,positive,ja
硬骨だ,positive,ja
硬骨です,positive,ja
肯定的だ,positive,ja
肯定的です,positive,ja
行ける,positive,ja
香る,positive,ja
高まる,positive,ja
高める,positive,ja
高雅だ,positive,ja
高雅です,positive,ja
高雅と,positive,ja
高雅の,positive,ja
高貴だ,positive,ja
高貴です,positive,ja
高貴と,positive,ja
高貴の,positive,ja
高級感のある,positive,ja
高級的だ,positive,ja
高級的です,positive,ja
高潔だ,positive,ja
高潔です,positive,ja
高尚だ,positive,ja
高尚です,positive,ja
高水準だ,positive,ja
高水準です,positive,ja
高大だ,positive,ja
高大です,positive,ja
高名だ,positive,ja
高名です,positive,ja
高邁だ,positive,ja
高邁です,positive,ja
剛毅だ,positive,ja
剛毅です,positive,ja
剛毅と,positive,ja
剛毅の,positive,ja
剛健だ,positive,ja
剛健です,positive,ja
剛健と,positive,ja
剛健の,positive,ja
剛胆だ,positive,ja
剛胆です,positive,ja
剛勇だ,positive,ja
剛勇です,positive,ja
合う,positive,ja
合わせやすい,positive,ja
合格点,positive,ja
合目的的だ,positive,ja
合目的的です,positive,ja
合理的だ,positive,ja
合理的です,positive,ja
豪い,positive,ja
豪華万点,positive,ja
豪気だ,positive,ja
豪気です,positive,ja
豪儀だ,positive,ja
豪儀です,positive,ja
豪勢だ,positive,ja
豪勢です,positive,ja
豪壮だ,positive,ja
豪壮です,positive,ja
豪胆だ,positive,ja
豪胆です,positive,ja
